id,districtid,regionid,udise,collegename,stream,status,medium,subject,choicecode,ReservationDetails,SC,ST,VJA,NTB,NTC,NTD,OBC,SBC,SEBC,EWS,General,round_id
11,Nagpur,Amravati,272068349,Tilak Dadar College of Arts & Science,Science,G,Semi-English,Arts,36528,Reserved,54.82,55.74,,55.040000000000006,,55.260000000000005,59.010000000000005,,61.85,61.910000000000004,61.17,1
12,Mumbai,Nashik,272088897,Smt. Thane College of Arts & Science,Arts,G,Marathi,General,10846,Open,75.13,71.8,,69.2,77.33,,74.47,71.93,71.7,73.91,76.32,2
13,Thane,Nashik,272085464,Pt. Ghatkopar College of Arts & Science,Arts,U,Semi-English,Commerce,29873,Open,87.53,85.66,85.16,84.59,,88.17,85.13,91.06,88.04,89.95,92.34,3
14,Thane,Amravati,272018932,K.C. Borivali Junior College,Science,A,English,General,77559,Open,71.93,75.27000000000001,,69.28,,,70.2,71.8,74.05,72.65,77.25,1
15,Pune,Konkan,272065694,Tilak Ghatkopar Institute,Science,G,Marathi,General,54691,Reserved,57.69,59.05,52.099999999999994,54.3,56.9,,60.03,60.379999999999995,59.059999999999995,52.86,59.83,3
16,Pune,Aurangabad,272012890,Elphinstone Dadar College of Commerce,Science,G,English,General,36805,Open,57.61,55.57,,67.05,,,66.15,,64.39,58.730000000000004,64.01,3
17,Nagpur,Nashik,272091689,Elphinstone Andheri College of Arts & Science,Science,A,English,Commerce,30655,Open,83.81,80.66,81.66,80.11,85.28,,77.88,77.22,84.14,76.46,83.22,2
18,Mumbai,Amravati,272018311,Elphinstone Borivali Vidyalaya,Commerce,G,English,General,70558,Open,82.77000000000001,88.16000000000001,,90.22000000000001,86.87,81.93,90.62,83.04,82.45,87.26,89.28,2
19,Pune,Pune,272021689,Dr. Bhandup College of Arts & Science,Commerce,A,English,General,33431,Open,93.72,93.19,86.01,86.05,89.17,91.01,89.55,90.6,90.7,89.06,95.28,1
20,Thane,Pune,272049308,Wilson Borivali College of Commerce,Science,U,English,General,72782,Open,63.06,61.76,,,57.04,60.13,59.59,65.6,60.05,61.38,64.34,1
21,Mumbai,Nagpur,272019680,Elphinstone Mulund Junior College,Commerce,A,English,Science,60364,Open,76.22,68.73,,68.49000000000001,71.18,76.14,77.2,68.69,72.49000000000001,74.14,76.48,1
22,Pune,Nashik,272038108,Elphinstone Thane College of Commerce,Science,U,English,Commerce,66360,Open,68.57,65.2,63.4,64.01,,67.69,68.73,,72.01,65.19,70.34,1
23,Mumbai,Aurangabad,272024804,Wilson Pune Junior College,Science,G,Semi-English,Science,87663,Reserved,71.54,73.3,,69.61,72.49000000000001,,67.37,72.11,70.81,65.64,74.94,1
24,Nagpur,Amravati,272086873,Elphinstone Thane College of Commerce,Science,A,English,Science,83423,Open,86.78,82.81,,,83.82000000000001,,86.24000000000001,81.33,82.61,83.31,85.88,1
25,Thane,Nagpur,272042543,Vivekanand Andheri College of Commerce,Commerce,G,Marathi,Arts,94849,Open,76.56,79.92,,74.94,78.33,77.41,82.28,81.79,77.66,79.82,81.87,2
26,Mumbai,Nagpur,272056890,R.D. Thane Junior College,Arts,U,English,General,39095,Reserved,71.81,68.97,,73.77000000000001,69.88000000000001,73.53,72.19,76.43,70.72,78.7,77.85000000000001,2
27,Thane,Amravati,272096662,N.S. Pune Junior College,Science,U,Semi-English,Science,43429,Reserved,81.74000000000001,74.64,73.32000000000001,,81.07000000000001,,73.47,80.95,74.81,78.38000000000001,79.61,3
28,Pune,Amravati,272088602,N.S. Mulund Junior College,Commerce,A,Semi-English,General,51504,Open,79.81,70.97,79.83,,75.06,81.07,78.51,79.81,74.52,76.23,79.88,1
29,Nashik,Amravati,272093898,Smt. Mulund College of Commerce,Commerce,A,Marathi,General,19126,Reserved,70.44000000000001,69.33000000000001,74.68,,,74.54,73.4,73.4,74.88000000000001,77.44000000000001,76.7,1
30,Mumbai,Amravati,272031396,Elphinstone Mulund Institute,Science,G,Marathi,General,93620,Open,74.94999999999999,74.61999999999999,75.03999999999999,,,,73.58,73.49,81.24,74.97999999999999,81.83,2
31,Thane,Aurangabad,272036813,Pt. Pune College of Arts & Science,Commerce,U,English,Science,58624,Open,64.75,55.18,,56.63,63.82,57.8,65.81,59.96,65.72,64.17,66.12,1
32,Mumbai,Amravati,272063396,Gokhale Bhandup College of Arts & Science,Science,A,Semi-English,Arts,18025,Reserved,56.23,59.769999999999996,53.169999999999995,56.419999999999995,56.41,58.69,55.419999999999995,,59.07,54.809999999999995,59.809999999999995,3
33,Pune,Aurangabad,272024150,Pt. Pune College of Commerce,Science,U,Semi-English,Commerce,31575,Reserved,63.190000000000005,64.64,,64.04,68.11,62.53000000000001,61.830000000000005,66.02000000000001,65.58000000000001,61.14000000000001,66.21000000000001,2
34,Pune,Aurangabad,272040493,S.M. Pune Vidyalaya,Arts,G,Semi-English,Arts,51934,Open,73.67,77.29,76.11,77.31,77.0,77.92,82.58,,73.96000000000001,75.37,80.42,2
35,Thane,Aurangabad,272037963,Wilson Pune Vidyalaya,Arts,A,Marathi,General,26486,Reserved,67.56,72.51,,69.26,,,68.58,74.25,73.02,69.26,74.91,1
36,Nagpur,Pune,272072273,Rajmata Mulund Junior College,Arts,A,English,Arts,77876,Reserved,81.46000000000001,77.67,83.49000000000001,83.49000000000001,86.79,83.14,81.96000000000001,85.36,85.73,84.37,84.83,1
37,Mumbai,Konkan,272063429,Vivekanand Kalwa Institute,Science,U,Semi-English,Arts,58577,Reserved,87.09,79.22999999999999,82.28,87.03,90.08,,81.36999999999999,88.36,84.77,83.38,87.97999999999999,2
38,Mumbai,Nagpur,272010055,R.D. Dadar Vidyalaya,Science,A,English,Arts,49298,Reserved,62.55,64.6,64.92999999999999,,,65.47999999999999,70.91,64.08,62.269999999999996,71.28999999999999,67.97,1
39,Pune,Nashik,272054791,Tilak Borivali College of Commerce,Commerce,A,Marathi,Commerce,65898,Reserved,55.99,53.1,58.82,,56.79,,57.980000000000004,,57.76,56.68,62.0,1
40,Mumbai,Pune,272034455,Chhatrapati Airoli Institute,Commerce,U,English,Arts,23958,Reserved,81.67,75.93,82.26,75.52000000000001,78.88000000000001,82.96000000000001,82.10000000000001,,76.45,74.12,79.9,2
41,Thane,Konkan,272042587,K.C. Ghatkopar Institute,Science,G,Semi-English,Commerce,41267,Reserved,63.550000000000004,56.1,,64.84,,57.82,55.74,64.3,56.34,61.32,64.02,1
42,Nashik,Nagpur,272015739,Shree Mulund College of Arts & Science,Commerce,A,English,Science,10579,Open,72.7,63.06999999999999,70.46,69.06,66.89,69.74,72.59,72.13,71.03,68.07,73.53,3
43,Pune,Pune,272043359,Smt. Andheri College of Commerce,Science,A,English,Arts,81351,Open,89.21,88.74,87.03999999999999,83.05,85.14999999999999,,86.06,,90.92999999999999,86.6,90.82,1
44,Nashik,Nagpur,272052102,Tilak Andheri Institute,Arts,G,Marathi,General,71225,Open,75.44,75.54,78.28,73.87,76.5,82.94,82.32,,74.6,77.98,81.77,1
45,Mumbai,Aurangabad,272082914,K.C. Dadar Institute,Science,A,Marathi,Science,34961,Reserved,82.24,83.01,82.08,89.67,85.26,81.9,88.29,86.42,84.46,84.22,86.84,1
46,Nagpur,Aurangabad,272076983,Wilson Borivali College of Arts & Science,Commerce,U,Marathi,Commerce,11003,Open,76.18,74.13000000000001,77.9,84.76,83.84,77.26,78.36,,77.26,77.08,80.09,1
47,Thane,Amravati,272022372,R.D. Andheri Vidyalaya,Science,A,English,Commerce,80145,Open,73.88,63.81,71.67,74.42999999999999,74.13,71.67,66.52,67.52,71.61,73.96,70.57,1
48,Mumbai,Aurangabad,272062508,N.S. Dadar Vidyalaya,Commerce,A,English,Arts,83964,Open,73.41,69.41,74.24,76.85,73.58,73.6,73.86999999999999,,69.72,72.94999999999999,75.74,1
49,Thane,Pune,272053574,Pt. Thane College of Arts & Science,Commerce,U,Marathi,Commerce,71853,Reserved,93.25,89.35000000000001,,,94.81,91.5,95.83000000000001,,91.22000000000001,99.32000000000001,98.0,1
50,Mumbai,Nagpur,272012874,Pt. Thane College of Arts & Science,Science,U,Semi-English,Arts,26392,Reserved,67.41,68.11,69.7,71.32000000000001,75.64,,69.29,70.16000000000001,69.67,67.08,74.79,1
51,Mumbai,Nashik,272031702,Smt. Dadar Institute,Arts,U,Semi-English,General,11045,Reserved,62.019999999999996,53.62,,61.97,,61.96,54.87,,54.989999999999995,60.14,60.08,3
52,Mumbai,Nagpur,272057227,N.S. Ghatkopar Vidyalaya,Arts,U,English,General,93743,Reserved,63.029999999999994,66.85,67.08,62.11,,67.22,60.91,64.52,67.44,62.16,67.67,3
53,Pune,Aurangabad,272046492,Shree Airoli Institute,Arts,U,Semi-English,Science,69857,Reserved,59.599999999999994,59.4,,,68.78999999999999,69.27,64.92,68.92999999999999,67.75999999999999,64.78,65.89,1
54,Nashik,Nagpur,272049595,Pt. Kalwa College of Commerce,Arts,U,English,Commerce,39328,Reserved,63.760000000000005,67.06,71.68,67.77000000000001,70.76,,66.62,,62.970000000000006,62.870000000000005,70.56,1
55,Nagpur,Konkan,272074958,R.D. Kalwa College of Arts & Science,Commerce,U,Marathi,General,82819,Open,54.18,53.28,57.66,60.66,55.839999999999996,63.12,59.269999999999996,57.14,55.79,53.91,62.92,2
56,Nashik,Nagpur,272028958,Smt. Airoli Vidyalaya,Arts,U,English,Commerce,31878,Reserved,86.99,82.95,83.25,,78.88,81.42,81.0,,85.2,83.16,87.39999999999999,3
57,Nashik,Pune,272044364,Vivekanand Andheri College of Commerce,Science,A,English,General,73410,Open,86.16000000000001,87.26,,,,86.39,92.85000000000001,85.05000000000001,90.10000000000001,90.99000000000001,90.28,3
58,Thane,Konkan,272026327,Dr. Kalwa Junior College,Science,A,Marathi,Science,72274,Reserved,54.97,54.44,63.62,59.11,61.78,,59.6,,61.58,59.11,64.1,1
59,Pune,Amravati,272090777,Chhatrapati Dadar Vidyalaya,Science,U,Marathi,Arts,71491,Reserved,66.76,56.66,63.14,59.339999999999996,,58.839999999999996,59.75,60.76,58.379999999999995,57.11,65.67999999999999,2
60,Pune,Amravati,272022761,S.M. Mulund College of Arts & Science,Science,A,English,Arts,69753,Open,80.08000000000001,69.82000000000001,78.98,73.60000000000001,74.73,75.25,71.72,76.94000000000001,80.92,71.60000000000001,78.46000000000001,2
61,Mumbai,Nagpur,272066219,R.D. Borivali Junior College,Science,U,English,Commerce,25198,Reserved,60.83,55.26,53.46,52.43,61.1,,55.14,,52.56,57.94,58.21,3
62,Nashik,Nashik,272051665,Tilak Airoli Institute,Science,G,English,General,25842,Open,77.57000000000001,77.3,,77.34,,86.03,78.12,82.53,84.4,81.10000000000001,84.38,1
63,Nagpur,Pune,272095234,Dr. Dadar College of Arts & Science,Arts,U,Marathi,Science,75701,Open,75.99000000000001,65.59,76.34,73.37,76.7,,70.64,73.47,75.05000000000001,72.35000000000001,74.87,2
64,Thane,Nashik,272014137,Tilak Kalwa Junior College,Science,A,English,Science,48337,Open,73.60000000000001,72.29,76.8,71.31,71.49000000000001,73.92,72.08,,71.48,73.55,75.60000000000001,1
65,Pune,Konkan,272035329,Tilak Pune Institute,Science,G,English,Arts,28377,Open,75.58999999999999,71.64,,,68.0,,69.97999999999999,73.83999999999999,74.25,70.32,75.63,1
66,Mumbai,Nashik,272047899,Pt. Airoli Junior College,Commerce,U,Marathi,General,51817,Open,58.64,49.78,55.69,59.58,59.85,59.15,54.72,,59.980000000000004,55.76,57.89,2
67,Nagpur,Konkan,272045861,Smt. Airoli Junior College,Science,A,Marathi,Science,26812,Open,69.12,69.26,69.23,74.35000000000001,,77.0,69.35000000000001,,74.71000000000001,74.74000000000001,74.78,1
68,Nashik,Nashik,272013703,S.M. Ghatkopar College of Commerce,Arts,G,Marathi,General,73010,Reserved,53.27,58.67,,59.43,56.01,55.46,55.79,56.410000000000004,51.4,60.1,57.03,2
69,Nagpur,Amravati,272084346,S.M. Borivali Junior College,Science,G,Marathi,Commerce,95520,Reserved,72.34,66.8,72.28999999999999,69.63,69.17,67.24,64.44,71.61999999999999,66.25999999999999,64.75,67.97999999999999,2
70,Pune,Pune,272064577,Vivekanand Bhandup Institute,Arts,G,Semi-English,Science,76054,Open,81.91,74.32000000000001,,76.84,73.81,81.54,77.84,74.17,81.72,73.97,82.69,3
71,Thane,Nashik,272062699,R.D. Mulund Institute,Arts,G,Semi-English,Commerce,61109,Reserved,66.37,66.39,68.05000000000001,,64.33000000000001,,67.98,70.5,66.95,69.37,70.84,1
72,Nashik,Nagpur,272018281,Smt. Dadar College of Commerce,Science,A,Semi-English,Arts,36007,Reserved,59.22,57.449999999999996,61.33,54.54,61.36,58.76,56.22,62.54,58.349999999999994,58.04,62.779999999999994,1
73,Thane,Konkan,272071609,Shree Borivali Junior College,Science,U,Marathi,Arts,10143,Open,76.62,73.07000000000001,,76.72,75.77,,72.49,76.15,79.19,70.59,76.76,1
74,Nagpur,Nagpur,272073470,Smt. Borivali College of Arts & Science,Arts,A,English,General,88976,Open,79.81,80.08999999999999,83.66,86.05,81.31,86.69999999999999,81.36999999999999,,83.32,84.94,83.88,2
75,Nagpur,Pune,272018563,R.D. Mulund Junior College,Commerce,A,Semi-English,Commerce,18058,Open,63.4,62.379999999999995,65.21000000000001,63.7,67.37,66.06,67.49000000000001,,64.60000000000001,58.660000000000004,64.96000000000001,2
76,Mumbai,Nagpur,272077605,Dr. Pune Institute,Commerce,U,English,Arts,11129,Open,74.30000000000001,69.98,75.96000000000001,,,70.34,75.60000000000001,,71.28,75.81,79.48,1
77,Nashik,Amravati,272026616,S.M. Pune Institute,Arts,A,English,Arts,68010,Open,90.71,88.94,82.61,87.33999999999999,86.74,91.30999999999999,89.64,,88.85,82.72999999999999,89.64,2
78,Nagpur,Amravati,272043907,Smt. Kalwa College of Commerce,Science,A,English,Science,20871,Open,82.7,82.13000000000001,,79.99000000000001,80.84,85.52,80.81,,85.46000000000001,86.02000000000001,85.51,2
79,Pune,Aurangabad,272087928,Elphinstone Borivali Institute,Science,A,English,Science,29192,Open,65.52,60.85,,64.64,60.0,64.19,56.67,59.86,64.75,63.9,63.85,1
80,Pune,Pune,272080548,Gokhale Pune College of Commerce,Science,A,Semi-English,Science,19592,Open,67.85000000000001,69.02000000000001,71.41,,67.74000000000001,71.91,65.14,,71.0,71.22,70.9,2
81,Thane,Nashik,272085135,Gokhale Ghatkopar College of Arts & Science,Arts,G,Marathi,Science,16298,Open,94.03,87.04,,92.37,94.49,97.54,92.79,93.85,93.17,94.04,94.69,2
82,Pune,Amravati,272081646,K.C. Dadar Institute,Commerce,U,Marathi,General,28554,Open,65.55,65.24,,63.97,65.45,61.62,62.8,64.12,60.13,61.31,63.910000000000004,3
83,Nagpur,Nashik,272092639,Smt. Airoli College of Commerce,Science,G,Marathi,Commerce,46524,Reserved,78.13,81.05,,,76.88,,78.63,,84.02,80.28,80.9,2
84,Pune,Nashik,272015482,Rajmata Borivali Junior College,Science,A,English,General,28456,Open,96.13,96.47999999999999,,95.27,98.94999999999999,98.16,95.52,98.66999999999999,95.91999999999999,96.6,94.44,1
85,Nashik,Konkan,272081657,Chhatrapati Bhandup Vidyalaya,Science,G,English,Science,35357,Reserved,59.39,52.65,,,53.65,,57.44,,59.03,58.73,58.51,2
86,Thane,Nagpur,272080915,Wilson Bhandup Institute,Science,A,Marathi,Commerce,48692,Open,87.28,87.86,,86.37,88.63000000000001,,93.37,,91.58,89.75,93.23,2
87,Nashik,Nashik,272010373,Elphinstone Airoli College of Commerce,Commerce,A,Marathi,Arts,98491,Reserved,63.82,63.08,,60.61,61.28,64.82000000000001,62.57,,59.050000000000004,62.830000000000005,68.45,1
88,Nagpur,Aurangabad,272062521,Vivekanand Ghatkopar College of Commerce,Commerce,A,English,Science,48045,Reserved,61.66,68.37,,65.79,64.36,63.28,68.67,68.99,60.8,66.95,68.89,3
89,Nagpur,Pune,272070519,Wilson Andheri College of Commerce,Arts,G,Marathi,Commerce,74075,Reserved,70.47,64.23,,62.46,65.83,67.65,70.57000000000001,71.34,69.46,65.09,70.08,1
90,Pune,Pune,272082240,Elphinstone Pune Vidyalaya,Commerce,G,English,Commerce,38391,Open,78.3,72.03,,79.42,82.66,,80.32,74.33,77.89,76.89,79.67999999999999,2
91,Mumbai,Konkan,272029065,Gokhale Ghatkopar College of Arts & Science,Science,U,English,Science,98841,Open,87.04,88.30000000000001,85.95,82.86000000000001,87.49000000000001,82.87,87.03,84.96000000000001,85.08000000000001,89.69000000000001,88.69000000000001,3
92,Mumbai,Aurangabad,272022700,Pt. Thane College of Arts & Science,Commerce,G,English,General,16793,Open,83.58,80.79,79.09,78.62,78.7,84.97,80.79,,83.83,81.92,82.92,2
93,Nagpur,Nagpur,272045585,N.S. Borivali Institute,Arts,U,English,Science,55717,Reserved,90.19999999999999,95.75,94.49,89.11,,91.28999999999999,89.46,,88.94999999999999,94.08,96.38,2
94,Nagpur,Aurangabad,272020435,N.S. Kalwa College of Commerce,Commerce,A,Semi-English,Commerce,96330,Open,83.86,79.55999999999999,79.89,87.28999999999999,80.27999999999999,,88.67999999999999,83.5,85.33999999999999,80.52,84.8,1
95,Thane,Pune,272068045,S.M. Andheri Junior College,Arts,G,Semi-English,General,73363,Open,74.50999999999999,73.91,80.42999999999999,83.0,,80.64,79.25999999999999,74.46,79.05,79.96,80.81,1
96,Nagpur,Aurangabad,272045503,Smt. Bhandup Junior College,Commerce,G,English,General,96797,Reserved,82.99000000000001,75.76,79.41,82.45,,76.08,73.74000000000001,80.09,77.51,76.14,82.28,2
97,Nagpur,Nagpur,272064224,Shree Pune Junior College,Commerce,U,Marathi,General,68593,Reserved,69.45,68.35000000000001,66.60000000000001,68.55000000000001,61.85000000000001,,63.93000000000001,,69.66000000000001,67.84,66.49000000000001,2
98,Thane,Amravati,272077760,Elphinstone Bhandup College of Commerce,Commerce,A,Marathi,General,71558,Open,78.53,75.46,74.24,,79.64999999999999,78.19,74.28,,77.47999999999999,77.21,81.89,1
99,Nashik,Nashik,272023708,Gokhale Pune College of Commerce,Science,G,English,Commerce,22312,Open,79.92,71.83999999999999,,,,,76.41,78.50999999999999,75.78,77.94999999999999,80.16,3
100,Nashik,Nashik,272039684,K.C. Ghatkopar Vidyalaya,Science,U,English,Commerce,91139,Reserved,68.06,70.63,71.66,67.27,74.23,76.42,72.78999999999999,,68.28,69.1,76.66,1
101,Thane,Pune,272052788,Rajmata Ghatkopar Junior College,Science,U,Semi-English,Science,65993,Open,67.32000000000001,65.45,68.42,,71.82000000000001,71.95,65.11,66.58,68.63,67.95,70.29,2
102,Thane,Pune,272091598,N.S. Andheri College of Commerce,Commerce,A,Marathi,Commerce,25769,Open,61.78,52.77,53.34,,54.01,57.26,61.89,62.22,57.63,61.89,62.78,2
103,Nashik,Nagpur,272034210,Shree Kalwa College of Arts & Science,Science,A,Semi-English,Science,98847,Reserved,86.60000000000001,89.94,91.34,83.65,88.01,83.01,91.59,85.22,89.02,90.69,91.27,2
104,Nashik,Aurangabad,272061710,R.D. Mulund Junior College,Commerce,G,English,Arts,85972,Reserved,74.86,73.74,78.31,75.89999999999999,80.19,70.75999999999999,74.35,,76.89,78.45,79.92,2
105,Nashik,Nagpur,272092128,Shree Pune Junior College,Arts,G,Marathi,Commerce,86357,Open,66.19,69.22,,64.91,,,68.44,66.63,70.27,69.95,71.72,1
106,Nashik,Konkan,272059352,Rajmata Mulund College of Arts & Science,Science,A,English,Science,92692,Open,81.82000000000001,75.12,84.39,80.88000000000001,77.7,82.77000000000001,81.9,77.80000000000001,85.73,81.79,84.29,3
107,Pune,Pune,272044737,Smt. Dadar College of Commerce,Commerce,U,English,General,72224,Reserved,67.79,67.34,66.08,65.82000000000001,,70.9,71.9,67.02,70.21000000000001,66.2,67.77,2
108,Thane,Pune,272081554,Smt. Dadar Junior College,Arts,A,Marathi,General,24199,Reserved,73.80999999999999,71.05999999999999,75.77,,66.96,,71.58,69.44,76.08999999999999,70.1,73.25,2
109,Mumbai,Pune,272065336,Dr. Kalwa Vidyalaya,Science,A,English,Commerce,59309,Open,63.419999999999995,68.03999999999999,,63.44,65.03999999999999,69.55,64.82,61.5,66.8,67.98,66.28999999999999,2
110,Pune,Nagpur,272090801,Dr. Andheri Institute,Science,A,English,Arts,57810,Open,73.99,78.03999999999999,79.87,76.53,73.72,79.94,74.46,74.52,75.34,77.86,75.63,1
111,Mumbai,Nagpur,272096922,Shree Pune College of Arts & Science,Science,A,English,General,89942,Reserved,77.27,77.34,84.19,84.96,78.61,86.17,78.8,,84.74,79.57,84.67,3
112,Mumbai,Aurangabad,272080569,Chhatrapati Bhandup Vidyalaya,Science,A,English,Science,66951,Open,72.44000000000001,79.74000000000001,75.61,73.84,77.23,79.54,72.96000000000001,79.7,72.95,79.27000000000001,80.4,2
113,Nagpur,Amravati,272090924,Pt. Mulund College of Arts & Science,Arts,A,Marathi,Science,55857,Reserved,90.36999999999999,92.89,91.21,,91.05999999999999,,89.6,,88.30999999999999,92.71,91.44999999999999,2
114,Thane,Pune,272042633,Pt. Thane Institute,Arts,G,English,General,62266,Open,80.86,78.91,79.53,75.15,83.49,75.5,81.67999999999999,85.05,77.02,82.56,81.79,3
115,Pune,Amravati,272086253,Tilak Ghatkopar Institute,Commerce,U,English,General,62774,Reserved,77.93,70.2,80.18,76.07000000000001,73.98,76.18,76.17,75.72,80.14,74.02000000000001,78.92,3
116,Thane,Nagpur,272061881,Gokhale Pune College of Commerce,Arts,G,English,General,69671,Reserved,65.98,60.15,63.46,,64.7,63.99,61.83,64.02,61.980000000000004,60.42,65.66,1
117,Nashik,Aurangabad,272091073,Tilak Borivali Junior College,Arts,A,English,Arts,63309,Reserved,76.17999999999999,68.13,79.07,79.35,70.39,79.56,72.49,73.52,79.53999999999999,76.57,78.31,3
118,Thane,Nagpur,272082030,Dr. Kalwa Vidyalaya,Science,A,Marathi,Arts,48796,Reserved,84.88000000000001,80.23,,,83.11000000000001,77.33000000000001,76.94000000000001,85.26,78.88000000000001,85.24000000000001,85.48,1
119,Mumbai,Konkan,272067717,N.S. Ghatkopar College of Commerce,Arts,U,English,Commerce,15333,Reserved,85.58,89.8,87.77999999999999,,92.94999999999999,89.1,91.47999999999999,,85.25,87.77,88.83999999999999,2
120,Nashik,Nashik,272050844,Smt. Airoli College of Arts & Science,Commerce,U,Marathi,Science,89594,Reserved,92.53999999999999,90.67,94.44,91.75,90.00999999999999,89.08,90.00999999999999,94.33999999999999,96.78999999999999,89.61999999999999,94.64,1
121,Thane,Nashik,272076417,Rajmata Bhandup College of Arts & Science,Arts,G,English,Commerce,89875,Open,64.6,59.92,68.64,,66.82,70.4,64.92999999999999,69.25,61.489999999999995,66.08,66.72,1
122,Thane,Nagpur,272059959,R.D. Mulund Junior College,Arts,A,English,Commerce,99294,Reserved,82.27,74.96,,,80.83999999999999,,85.31,82.89999999999999,80.92,75.55,82.14999999999999,1
123,Mumbai,Nashik,272084346,Wilson Bhandup Vidyalaya,Science,G,Semi-English,Science,59496,Open,85.75,83.8,82.52,,86.92999999999999,91.63,89.28,90.32,84.21,86.72,90.71,1
124,Nashik,Nashik,272050940,Pt. Andheri Vidyalaya,Science,G,Marathi,Science,78683,Open,92.36,85.46,93.13,92.72,93.14,85.63,84.94,,90.17999999999999,92.36,89.7,1
125,Mumbai,Aurangabad,272021835,Wilson Borivali Vidyalaya,Science,U,English,Science,40740,Reserved,93.89,92.6,89.45,92.6,91.83,94.28999999999999,87.42,94.14,89.22,91.42,95.86,2
126,Thane,Nashik,272052903,Rajmata Borivali Vidyalaya,Commerce,G,Semi-English,Commerce,35529,Reserved,92.51,87.9,94.71,89.12,90.56,92.59,91.38,97.15,90.33,96.46000000000001,92.69,1
127,Pune,Aurangabad,272054601,Rajmata Pune College of Arts & Science,Arts,G,English,Arts,47692,Open,81.88,82.35000000000001,,83.77,81.77,,88.10000000000001,86.69,84.52,85.25,87.29,2
128,Pune,Konkan,272087116,Gokhale Borivali College of Commerce,Arts,G,Semi-English,Science,44867,Reserved,59.79,58.98,53.73,62.05,,,61.019999999999996,55.57,58.43,61.44,61.6,1
129,Nagpur,Pune,272044238,K.C. Ghatkopar Institute,Science,A,Marathi,General,12107,Reserved,66.88,59.25,64.59,59.97,58.22,64.62,66.2,,61.76,65.37,64.32000000000001,1
130,Pune,Pune,272051098,S.M. Pune Vidyalaya,Commerce,U,Marathi,Arts,12289,Open,76.95,69.84,,,77.73,,75.37,,73.76,74.77,77.14,2
131,Nashik,Pune,272096495,S.M. Airoli Vidyalaya,Commerce,G,Semi-English,Arts,90608,Reserved,66.98,57.72,64.36,63.85,,63.48,61.04,59.74,64.46,68.46,68.31,1
132,Nagpur,Aurangabad,272016461,Dr. Andheri College of Arts & Science,Science,A,English,Arts,58056,Reserved,84.96,79.72,88.24,,81.12,80.09,80.48,,80.8,83.73,89.06,1
133,Nashik,Aurangabad,272024502,Gokhale Thane College of Arts & Science,Science,A,Marathi,Arts,29967,Reserved,81.98,87.87,,81.73,81.15,88.2,89.92,87.16000000000001,88.24000000000001,90.15,87.95,3
134,Pune,Aurangabad,272026268,N.S. Dadar Institute,Science,A,English,Science,31165,Reserved,86.31,90.45,86.15,92.44000000000001,88.74000000000001,,86.89,93.44,84.30000000000001,86.48,91.99000000000001,1
135,Pune,Konkan,272090438,Smt. Dadar Vidyalaya,Arts,A,English,Commerce,46903,Reserved,70.47999999999999,69.83,71.09,69.16,74.75999999999999,75.41,72.36999999999999,75.72,66.64,69.35,74.35,2
